合约代码,更新时间,最新价,成交量,买价一,买量一,卖价一,卖量一,持仓量,换手率
cs1903,13:38:52.500,2312,0,2296,3,2350,1,20,0
cs1903,13:40:53.0,2312,0,2296,4,2350,1,20,0
